,Type,,Feature,Desciption,Link/Screenshot,Expected Result,Priority,Status,QA,Done date,ชี้แจงปัญหา,เพิ่มเติม,recheck DEV,recheck STG
2025/09/24,Bug,,Employee/workload,"at Academin detail in                                                   year 2025 Start 01/Mar/2025
Year 2026 start 04/Jan/2026",workload.mp4,,1) High,Done,pass,,"เคสนี้บันทึกได้ปกติค่ะ
https://www.loom.com/share/9bd344a2e2ad4661bd7aeb3fc764da22?sid=c2ff260f-2b13-4326-b1ca-e09a1ab14b13",รบกวนเช็คที่ปี 2025 ครับ มันไม่ได้เริ่มจากวันที่ 01/jan/2025 แต่ทาง foxbith เลือกจากปี 2027 นะครับ ,aum : pass,
2025/09/24,Bug,,Setting/Academic Setting,ไม่สามารถ set เพื่อตั้งปีการศึกษาใหม่ได้ กด Save แล้ว Error,gear Add Academic.jpg,,1) High,Done,pass,,เคสนี้เลข academic end date เป็นปี 26,วันที่เริ่มคือ 14 สิงหาคม 25 สิ้นสุดปีการศึกษา19 มิถุนายน 2026 ครับ,aum : pass,
2025/09/24,Bug,,Setting/Permission,ไม่สามารถ save ได้,permission.jpg,,1) High,Done,pass,,"เคสนี้บันทึกได้ปกติค่ะ
https://www.loom.com/share/2a126f17a74846448a56a220ecd36d76?sid=52d28192-f2e7-4072-bc08-9d96dcb33d6d",,aum : pass,
2025/09/24,Bug,,Education/ทั้งหมด,ไม่สามารถสร้างอะไรได้เลยครับ,after School.mp4,,1) High,Done,pass,,,,aum : pass,
2025/09/24,Bug,,Asset ,ไม่สามารถสร้างอะไรได้เลยครับ,Asset.mp4,,1) High,Done,pass,,"เคสนี้บันทึกได้ปกติค่ะ
https://www.loom.com/share/4a44d8b8494f4d1c8af6791f780b801f?sid=2b0d11ec-9673-4ed6-88dc-2003f7d7f49f

แบบทุก Function
https://www.loom.com/share/3653104b81884e3386f0f37b3075e0f5?sid=4272c3ae-37df-4225-8115-78110d0008e1",,aum : pass,
2025/09/25,Bug,,gear/company Setting ,ในตอนที่กำลังกรอกข้อมูลของโรงเรียน ทิ้งไว้สักพักเด้งไปใช้ค่าเดิม,School setting.mp4,,1) High,Done,pass,,,,aum : pass,
2022/09/27,Bug,,form/Purchasing Form,ไม่สามารถใส่ชื่อสินค้าได้,Purchease form.mp4https://drive.google.com/file/d/1h5JdIr2oHdBFgK35QKQHkREMUWu5x2Qe/view?usp=drive_link,,1) High,Done,pass,,เป็น bug,เส้น search ทำงานไม่ถูกต้อง ,"piano : pass 
free text save ได้                           10/11/2025.                                   aum : pass",
2025/09/29,Bug,,product / order,มีการทดลองสร้าง Product ขึ้นชื่อว่า CPU  รหัสสินค้า cp001 แล้วก็ทำบิลซื้อสินค้าเข้าแล้ว แต่พอจะสร้าง order ในการขายสินค้ากลับไม่พบชื่อสินค้าครับ, product.mp4,,1) High,Done,pass,,เป็น bug เดียวกับข้อนี้ 20250909_IPS_UAT 2,เส้น search ต้องให้ backend lookup SKU มาเพิ่มอีกที,aum : pass,
2025/09/27,Q&A,,กรณีที่ต้องการทำลา,รบกวนช่วยแสดงวิธีการทำลาโดยพนักงาน login เข้าไปทำเองให้ดูด้วยครับ,,https://www.loom.com/share/067024c0492945e4a372829b7d8444d4?sid=f3600e9c-bc64-45fc-b257-53c59ba74882,1) High,Done,pass,,https://www.loom.com/share/067024c0492945e4a372829b7d8444d4?sid=f3600e9c-bc64-45fc-b257-53c59ba74882,,aum : pass,
2025/09/27,Q&A,,กรณีที่ี่ต้องการทำ Present form,รบกวนช่วยแสดงวิธีการลืมสแกนหน้าเข้าโดยพนักงาน login เข้าไปทำเองให้ดูด้วยครับ,,https://www.loom.com/share/ca7f65a63f414629bdf4c71b73ac92c2?sid=3db9ca2a-a231-4344-8a4c-8b89cc177068,1) High,Done,pass,,https://www.loom.com/share/ca7f65a63f414629bdf4c71b73ac92c2?sid=3db9ca2a-a231-4344-8a4c-8b89cc177068,,aum : pass,
